class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
1,2025,122.14622359268664,-2.7949229455263143,air_keruh,0.1142,0.1266,0.1386,0.1758,0.1983,0.1669,0.11832058,-0.16269842,0.06014437,0.07481258,0.045248903
1,2025,122.15206007950304,-2.804524508242579,air_keruh,0.0488,0.0706,0.0528,0.2874,0.1475,0.0833,0.6895944,-0.6055866,-0.32168317,-0.2533085,-0.14424637
1,2025,122.14622359268664,-2.811382719083616,air_keruh,0.0898,0.1022,0.1162,0.1494,0.2339,0.2235,0.124999985,-0.18759935,0.22045396,0.18818937,0.06410256
1,2025,122.1548066615343,-2.812754356417438,air_keruh,0.1316,0.1456,0.1662,0.2258,0.2354,0.1895,0.15204081,-0.21593966,0.020815294,0.058234524,0.066067964
1,2025,122.17746596329212,-2.821327053171478,air_keruh,0.1026,0.1462,0.1636,0.2532,0.2392,0.1611,0.2149712,-0.26790184,-0.028432166,0.061956234,0.056165256
1,2025,122.1657929896593,-2.824756114184793,air_keruh,0.117,0.1546,0.185,0.1877,0.2087,0.196,0.007244435,-0.09669883,0.052976783,0.12743413,0.0895171
1,2025,122.18364577286242,-2.8268135459331107,air_keruh,0.1023,0.1218,0.1572,0.2058,0.19925,0.15565,0.13388431,-0.25641027,-0.01617084,0.072755985,0.1268817
1,2025,122.17609267227648,-2.8254419251727385,air_keruh,0.395,0.4992,0.5856,0.5578,0.57555,0.61745,-0.024313472,-0.055439934,0.015661556,0.09855958,0.07964604
1,2025,122.17094283096787,-2.8319571093380858,air_keruh,0.0483,0.0568,0.0842,0.0813,0.0899,0.0848,-0.017522685,-0.17740767,0.05023367,0.14652619,0.19432625
1,2025,122.18536238663197,-2.8316142058212477,air_keruh,0.07245,0.1097,0.1014,0.29385,0.27935,0.20355,0.486907,-0.4563251,-0.025296567,0.019342765,-0.039317854
1,2025,122.1881089686632,-2.8374435517928336,air_keruh,0.1084,0.1098,0.1422,0.1726,0.2782,0.2564,0.09656928,-0.2223796,0.23425022,0.19874536,0.12857139
1,2025,122.18982558243272,-2.843615768427731,air_keruh,0.02825,0.0576,0.0249,0.3064,0.16145,0.07185,0.84968305,-0.6835165,-0.30982152,-0.2846449,-0.39636362
1,2025,122.1877656459093,-2.8494450538144074,air_keruh,0.1344,0.1632,0.1822,0.2286,0.2874,0.258,0.11295033,-0.16692187,0.11395351,0.12803268,0.05500867
